date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Arunachal Pradesh,12,Lohit,234,3,3,3,246,0,55,1,98,102,6,584,374,0,583,1,973,0,15,11,0,26,11,0,3,6,2,3,0,0
01-04-2023,Arunachal Pradesh,12,Longding,666,5,4,11,1757,0,104,6,246,270,110,2926,2683,88,2876,50,5845,0,316,122,195,721,210,88,72,54,4,9,3,0
01-04-2023,Arunachal Pradesh,12,Lower Dibang Valley,235,17,13,25,287,0,83,6,136,140,59,988,719,29,927,61,1856,0,152,122,226,511,133,11,47,43,3,7,0,0
01-04-2023,Arunachal Pradesh,12,Lower Siang,719,2,0,2,205,0,69,17,85,85,26,412,318,73,376,36,786,7,42,110,88,282,152,42,17,13,2,2,0,0
01-04-2023,Arunachal Pradesh,12,Lower Subansiri,236,5,3,16,598,0,79,2,225,265,46,685,608,0,536,149,1417,22,65,5,21,91,5,0,45,33,2,8,0,0
01-04-2023,Arunachal Pradesh,12,Namsai,678,100,128,147,2010,0,196,11,318,320,103,3724,2759,74,3663,61,6896,20,689,342,462,1533,382,40,142,168,3,7,29,18
01-04-2023,Arunachal Pradesh,12,Pakke Kessang,723,1,1,3,334,0,94,21,112,117,71,785,483,152,683,102,1404,2,249,86,97,505,159,73,34,31,2,4,0,0
01-04-2023,Arunachal Pradesh,12,Papum Pare,237,31,13,67,1546,0,337,41,478,524,292,4048,3421,326,3654,394,8171,129,1187,383,425,2274,662,279,227,183,8,28,46,6
01-04-2023,Arunachal Pradesh,12,Shi Yomi,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
01-04-2023,Arunachal Pradesh,12,Siang,679,5,3,8,336,0,80,15,174,176,24,875,708,26,829,46,1641,3,69,235,59,386,258,23,24,10,4,10,0,0
